gene,annot
Acropora_001587,NA
Acropora_001595,NA
Acropora_001600,NA
Acropora_001602,Belongs to the heat shock protein 70 family
Acropora_001646,Poly(ADP-ribose) polymerase catalytic domain
Acropora_001767,TCDD-inducible poly(ADP-ribose) polymerase
Acropora_001793,It is involved in the biological process described with
Acropora_001853,NA
Acropora_001857,NA
Acropora_001859,vesicle fusion with Golgi apparatus
Acropora_001889,NA
Acropora_001897,Si ch211-39a7.1
Acropora_001916,NA
Acropora_001921,Tachylectin
Acropora_001953,NA
Acropora_001960,SUMO transferase activity
Acropora_001968,single fertilization
Acropora_001975,NA
Acropora_001991,NA
Acropora_001995,NA
Acropora_001996,NA
Acropora_002034,Calcium-binding protein
Acropora_002036,Heparan-alpha-glucosaminide N-acetyltransferase
Acropora_002050,NA
Acropora_002052,carbohydrate binding
Acropora_002072,NA
Acropora_002077,translation activator activity
Acropora_002084,NA
Acropora_002088,Protein tyrosine kinase
Acropora_002095,NA
Acropora_002118,sequence-specific DNA binding
Acropora_002124,electron transfer activity
Acropora_002129,NA
Acropora_002130,NA
Acropora_002137,threonine-type endopeptidase activity
Acropora_002140,DNA polymerase epsilon subunit 3
Acropora_002141,Peptidyl-prolyl cis-trans isomerase
Acropora_002144,Universal stress protein family
Acropora_002160,positive regulation of DNA binding
Acropora_002190,NA
Acropora_002204,RNA polymerase II
Acropora_002205,Heme binding protein 2
Acropora_002225,negative regulation of protein depolymerization
Acropora_002262,sulfuric ester hydrolase activity
Acropora_002306,DNA (cytosine-5-)-methyltransferase activity
Acropora_002342,otolith formation
Acropora_002366,NA
Acropora_002385,NA
Acropora_002394,phosphatidylserine binding
Acropora_002399,"subunit, beta"
Acropora_002421,CMP metabolic process
Acropora_002434,NA
Acropora_002470,positive regulation of presynaptic membrane organization
Acropora_002518,Trypsin-like serine protease
Acropora_002563,NA
Acropora_002565,store-operated calcium channel activity
Acropora_002569,Amidohydrolase
Acropora_002586,proteasome regulatory particle assembly
Acropora_002602,NA
Acropora_002614,SNAP receptor activity
Acropora_002615,haloacid dehalogenase-like hydrolase
Acropora_002620,Dienelactone hydrolase family
Acropora_002632,calcium ion binding
Acropora_002633,NA
Acropora_002656,trans-L-3-hydroxyproline dehydratase activity
Acropora_002679,NA
Acropora_002712,NA
Acropora_002796,Rho guanine nucleotide exchange factor
Acropora_002828,"Involved in nuclear export of spliced and unspliced mRNA. Assembling component of the TREX complex which is thought to couple mRNA transcription, processing and nuclear export, and specifically associates with spliced mRNA and not with unspliced pre-mRNA. TREX is recruited to spliced mRNAs by a transcription- independent mechanism, binds to mRNA upstream of the exon-junction complex (EJC) and is recruited in a splicing- and cap-dependent manner to a region near the 5' end of the mRNA where it functions in mRNA export to the cytoplasm via the TAP NFX1 pathway. May undergo several rounds of ATP hydrolysis during assembly of TREX to drive subsequent loading of components such as ALYREF THOC and CHTOP onto mRNA"
Acropora_002864,isocitrate dehydrogenase (NADP+) activity
Acropora_002936,Ribonuclease H protein
Acropora_002961,Leucine Rich repeat
Acropora_002965,methanethiol oxidase activity
Acropora_002969,NA
Acropora_002975,NA
Acropora_003036,Universal stress protein family
Acropora_003066,sodium:bicarbonate symporter activity
Acropora_003069,"homolog, subfamily C, member 22"
Acropora_003070,Required for protein import into peroxisomes
Acropora_003229,NA
Acropora_003258,attachment of GPI anchor to protein
Acropora_003261,Phosphoethanolamine methyltransferase
Acropora_003264,cell cycle G1/S phase transition
Acropora_003267,Chromatin organization modifier domain
Acropora_003268,Fanconi anaemia group A protein N terminus
Acropora_003285,NA
Acropora_003303,7 transmembrane receptor (rhodopsin family)
Acropora_003305,positive regulation of interleukin-13 biosynthetic process
Acropora_003306,positive regulation of interleukin-13 biosynthetic process
Acropora_003321,positive regulation of epithelial to mesenchymal transition
Acropora_003330,NA
Acropora_003339,G-protein coupled GABA receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Acropora_003353,15-hydroxyprostaglandin dehydrogenase (NAD+) activity
Acropora_003418,adenylate cyclase-activating G-protein coupled receptor signaling pathway
Acropora_003432,NA
Acropora_003442,cysteine desulfurase activity
Acropora_003465,negative regulation of renal output by angiotensin
Acropora_003467,NA
Acropora_003481,arachidonate 5-lipoxygenase activity
Acropora_003492,Cystatin-like domain
Acropora_003509,NA
Acropora_003548,NA
Acropora_003561,NA
Acropora_003566,NA
Acropora_003570,mechanosensitive ion channel activity
Acropora_003575,G-protein beta/gamma-subunit complex binding
Acropora_003576,Golgi apparatus protein
Acropora_003578,Protein tyrosine kinase
Acropora_003640,calretinin
Acropora_003641,NA
Acropora_003666,establishment of animal organ orientation
Acropora_003672,Transcription factor
Acropora_003708,protein monoubiquitination
Acropora_003727,NA
Acropora_003746,NA
Acropora_003765,NA
Acropora_003774,NA
Acropora_003794,regulation of mitotic cell cycle
Acropora_003816,NA
Acropora_003835,NA
Acropora_003842,NA
Acropora_003878,glutathione synthase activity
Acropora_003881,NA
Acropora_003903,NA
Acropora_003927,NA
Acropora_003940,NA
Acropora_003949,calcium ion binding
Acropora_003960,NA
Acropora_004000,magnesium-dependent phosphatase 1
Acropora_004018,NA
Acropora_004025,NA
Acropora_004071,member RAS oncogene family
Acropora_004105,Belongs to the MCM family
Acropora_004125,Belongs to the G-protein coupled receptor 1 family
Acropora_004129,NA
Acropora_004141,protein localization to cytosolic proteasome complex involved in ERAD pathway
Acropora_004167,"Endoplasmic reticulum protein ERp29, C-terminal domain"
Acropora_004185,helicase activity
Acropora_004202,NA
Acropora_004203,Belongs to the syntaxin family
Acropora_004221,syndrome nuclear autoantigen 1
Acropora_004232,structural constituent of cuticle
Acropora_004256,NA
Acropora_004330,NA
Acropora_004349,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Acropora_004357,Galactosyltransferase
Acropora_004370,heat shock protein binding
Acropora_004404,M-phase phosphoprotein 6
Acropora_004446,importin-alpha family protein binding
Acropora_004458,antigen processing and presentation of exogenous peptide antigen via MHC class I
Acropora_004471,NA
Acropora_004493,"Myosin, light"
Acropora_004501,regulation of DNA-dependent DNA replication initiation
Acropora_004530,NA
Acropora_004536,mitotic chromosome condensation
Acropora_004555,threonine-type endopeptidase activity
Acropora_004556,NA
Acropora_004573,Malonyl CoA ACP acyltransferase (mitochondrial)
Acropora_004591,Poly (ADP-ribose) polymerase
Acropora_004597,NA
Acropora_004685,NA
Acropora_004814,primary miRNA methylation
Acropora_004835,NA
Acropora_004848,NA
Acropora_004854,NA
Acropora_004869,NA
Acropora_004917,guanylate cyclase activity
Acropora_004941,metalloendopeptidase activity
Acropora_004943,solute carrier family 17
Acropora_005185,regulation of ryanodine-sensitive calcium-release channel activity
Acropora_005230,ATP-dependent RNA helicase
Acropora_005233,RNA pseudouridylate synthase
Acropora_005417,snRNA export from nucleus
Acropora_005421,sorting nexin
Acropora_005422,protein adenylyltransferase activity
Acropora_005445,NA
Acropora_005461,NA
Acropora_005526,protein linear deubiquitination
Acropora_005572,NA
Acropora_005697,Belongs to the peptidase S1 family
Acropora_005703,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Acropora_005717,NA
Acropora_005724,Rab GTPase binding
Acropora_005730,NA
Acropora_005760,chromatin remodeling
Acropora_005767,structural constituent of cuticle
Acropora_005791,sodium-dependent glucose transporter
Acropora_005814,microtubule motor activity
Acropora_005830,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
Acropora_005872,NA
Acropora_005885,motor activity
Acropora_005900,NA
Acropora_005903,Nuclear factor NF-kappa-B p105 subunit
Acropora_005935,NA
Acropora_005936,NA
Acropora_005969,NA
Acropora_006002,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Acropora_006009,alpha-catenin binding
Acropora_006010,NA
Acropora_006012,Golgi ribbon formation
Acropora_006040,procollagen-proline 3-dioxygenase activity
Acropora_006070,organic anion transmembrane transporter activity
Acropora_006072,V-myb avian myeloblastosis viral oncogene
Acropora_006153,"Arrestin (or S-antigen), N-terminal domain"
Acropora_006199,Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Acropora_006211,assembly factor 2
Acropora_006256,Lysyl oxidase-like 2
Acropora_006257,peptidyl-lysine oxidation
Acropora_006265,Cytochrome P450
Acropora_006288,NFX1-type zinc finger-containing protein
Acropora_006396,NA
Acropora_006404,NA
Acropora_006413,NA
Acropora_006439,retinol dehydrogenase activity
Acropora_006448,plasma membrane repair
Acropora_006451,plasma membrane repair
Acropora_006515,huntingtin
Acropora_006523,NA
Acropora_006541,N-acetyl-D-glucosamine kinase
Acropora_006543,NA
Acropora_006544,NA
Acropora_006629,NA
Acropora_006644,regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation
Acropora_006658,Leydig cell differentiation
Acropora_006662,GABA-A receptor activity
Acropora_006672,CUB and zona pellucida-like domain-containing protein
Acropora_006674,NA
Acropora_006685,SRY (sex determining region Y)-box 30
Acropora_006702,folate import across plasma membrane
Acropora_006716,SWIB/MDM2 domain
Acropora_006719,NA
Acropora_006738,NK6 homeobox 1
Acropora_006739,smoothened signaling pathway
Acropora_006810,NA
Acropora_006820,"Catenin (Cadherin-associated protein), alpha"
Acropora_006825,Glutaredoxin 3
Acropora_006831,PX domain
Acropora_006836,NA
Acropora_006841,microtubule motor activity
Acropora_006865,Disintegrin and metalloproteinase domain-containing protein
Acropora_006880,-
Acropora_006883,NA
Acropora_006886,tetracycline transmembrane transporter activity
Acropora_006908,regulation of chromosome segregation
Acropora_006911,osteoblast proliferation
Acropora_006944,NA
Acropora_006953,renal vesicle induction
Acropora_006973,"Fanconi anemia, complementation group I"
Acropora_007014,NA
Acropora_007036,NA
Acropora_007059,NA
Acropora_007169,fibroblast growth factor-activated receptor activity
Acropora_007265,zinc finger
Acropora_007303,plus-end-directed vesicle transport along microtubule
Acropora_007320,Nidogen-like
Acropora_007329,mothers against decapentaplegic homolog
Acropora_007366,NA
Acropora_007388,heme binding
Acropora_007405,NA
Acropora_007413,NA
Acropora_007430,Interferon-induced transmembrane protein
Acropora_007435,Interferon-induced transmembrane protein
Acropora_007447,NA
Acropora_007483,NA
Acropora_007492,ubiquitin conjugating enzyme binding
Acropora_007508,NA
Acropora_007522,protein transport
Acropora_007533,NA
Acropora_007568,NA
Acropora_007577,Transient receptor potential cation channel subfamily M member
Acropora_007590,NA
Acropora_007604,resolution of meiotic recombination intermediates
Acropora_007614,"Inner centromere protein, ARK binding region"
Acropora_007616,NA
Acropora_007622,Diacylglycerol kinase
Acropora_007638,Ankyrin repeats (3 copies)
Acropora_007652,Copper/zinc superoxide dismutase (SODC)
Acropora_007695,Belongs to the peptidase C1 family
Acropora_007708,demethylase
Acropora_007734,GTPase activity
Acropora_007741,oxidative phosphorylation uncoupler activity
Acropora_007764,Cytochrome b-561 / ferric reductase transmembrane domain.
Acropora_007791,"family with sequence similarity 175, member B"
Acropora_007811,"hydrolase activity, acting on ester bonds"
Acropora_007825,NA
Acropora_007860,NA
Acropora_007875,calcium-dependent phospholipid binding
Acropora_007877,NA
Acropora_007883,non-haem dioxygenase in morphine synthesis N-terminal
Acropora_007897,signal peptide processing
Acropora_007909,NA
Acropora_007960,MFS_1 like family
Acropora_007963,regulation of smoothened signaling pathway
Acropora_007978,NA
Acropora_007990,coiled-coil domain-containing protein 34
Acropora_007996,NA
Acropora_008002,neurotransmitter:sodium symporter activity
Acropora_008066,positive regulation of DNA endoreduplication
Acropora_008068,protein-glutamine gamma-glutamyltransferase activity
Acropora_008070,protein-glutamine gamma-glutamyltransferase activity
Acropora_008072,Catalytic LigB subunit of aromatic ring-opening dioxygenase
Acropora_008078,NA
Acropora_008080,gene silencing by RNA
Acropora_008105,NA
Acropora_008130,metalloendopeptidase activity
Acropora_008133,protein transport
Acropora_008134,NA
Acropora_008143,NA
Acropora_008169,Ral GTPase binding
Acropora_008193,"obsolete transcriptional repressor activity, RNA polymerase II transcription factor binding"
Acropora_008226,vesicle-mediated cholesterol transport
Acropora_008233,"fast, calcium ion-dependent exocytosis of neurotransmitter"
Acropora_008407,negative regulation of MHC class II biosynthetic process
Acropora_008450,NA
Acropora_008456,Phosphoglycerate mutase family
Acropora_008475,Domain of unknown function (DUF4062)
Acropora_008484,NA
Acropora_008487,NACHT and WD repeat
Acropora_008510,calcium ion homeostasis
Acropora_008514,Belongs to the TUB family
Acropora_008519,store-operated calcium channel activity
Acropora_008533,NA
Acropora_008536,Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide
Acropora_008550,G-protein coupled receptor activity
Acropora_008603,Ion transport protein
Acropora_008625,"solute carrier family 39 (zinc transporter), member 12"
Acropora_008634,Glycosyltransferase family 28 C-terminal domain
Acropora_008650,TeTratriCopeptide repeat
Acropora_008654,Tti2 family
Acropora_008665,-
Acropora_008715,NA
Acropora_008716,NA
Acropora_008723,metalloendopeptidase activity
Acropora_008758,NA
Acropora_008770,NA
Acropora_008811,NA
Acropora_008813,WD repeat domain 7
Acropora_008839,Sulfotransferase family
Acropora_008843,NA
Acropora_008857,homolog subfamily B member
Acropora_008866,galactosyltransferase activity
Acropora_008914,Peptidyl-prolyl cis-trans isomerase
Acropora_008931,Short calmodulin-binding motif containing conserved Ile and Gln residues.
Acropora_008940,"ERK and JNK pathways, inhibitor"
Acropora_008943,thiol-dependent ubiquitin-specific protease activity
Acropora_008945,NA
Acropora_008954,signal peptide processing
Acropora_008963,Hepatic leukemia factor
Acropora_008983,NA
Acropora_009003,hyaluronic acid binding
Acropora_009016,NA
Acropora_009045,NA
Acropora_009091,phospholipid-translocating ATPase activity
Acropora_009105,regulation of T cell homeostatic proliferation
Acropora_009137,B-cell translocation gene 1
Acropora_009141,ion transport
Acropora_009163,positive regulation of DNA N-glycosylase activity
Acropora_009164,NA
Acropora_009168,NA
Acropora_009174,zinc ion binding
Acropora_009184,Centrosomal protein
Acropora_009209,negative regulation of cell growth
Acropora_009210,NA
Acropora_009215,NA
Acropora_009217,NA
Acropora_009228,"inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"
Acropora_009243,"Family with sequence similarity 160, member"
Acropora_009248,Pyridoxal-dependent decarboxylase conserved domain
Acropora_009258,NA
Acropora_009271,NA
Acropora_009317,NA
Acropora_009330,U1 snRNA 3'-end processing
Acropora_009336,cellular response to vasopressin
Acropora_009337,NA
Acropora_009363,NA
Acropora_009372,ribonucleoside-diphosphate reductase activity
Acropora_009379,NA
Acropora_009457,GTP binding
Acropora_009481,NA
Acropora_009486,magnesium ion transmembrane transporter activity
Acropora_009522,NA
Acropora_009527,G1 to G0 transition involved in cell differentiation
Acropora_009565,NA
Acropora_009578,NA
Acropora_009581,Ubiquitin-conjugating enzyme
Acropora_009588,NACHT and WD repeat
Acropora_009622,rho guanine nucleotide exchange factor
Acropora_009648,cell cycle
Acropora_009650,-
Acropora_009660,NA
Acropora_009763,positive regulation of histone H3-K79 methylation
Acropora_009771,Domain of unknown function (DUF4795)
Acropora_009775,NA
Acropora_009776,Collagen triple helix
Acropora_009796,reverse transcriptase
Acropora_009817,NA
Acropora_009949,ELKS RAB6-interacting CAST family member
Acropora_009960,NA
Acropora_009970,pyrroline-5-carboxylate reductase activity
Acropora_009972,NA
Acropora_009985,"dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity"
Acropora_009986,metal ion binding
Acropora_010000,NA
Acropora_010083,Ubiquitin-2 like Rad60 SUMO-like
Acropora_010084,member RAS oncogene family
Acropora_010086,Thioesterase superfamily member 6
Acropora_010094,Subtilase family
Acropora_010097,RNA polymerase I transcription factor binding
Acropora_010099,Integrin linked kinase
Acropora_010102,NA
Acropora_010131,It is involved in the biological process described with
Acropora_010152,IgLON family member 5
Acropora_010170,response to cell cycle checkpoint signaling
Acropora_010229,Arachidonate 5-lipoxygenase
Acropora_010237,unfolded protein binding
Acropora_010282,NA
Acropora_010286,PFAM Glycosyl transferases group 1
Acropora_010289,NA
Acropora_010290,Belongs to the peptidase S1 family
Acropora_010302,hydroxyisourate hydrolase activity
Acropora_010312,NA
Acropora_010314,steroid receptor RNA activator 1
Acropora_010315,stromal interaction molecule
Acropora_010328,cAMP-dependent protein kinase regulator activity
Acropora_010329,Extracellular matrix protein
Acropora_010346,NA
Acropora_010364,protein-DNA loading ATPase activity
Acropora_010385,epithelial cell morphogenesis involved in placental branching
Acropora_010416,Transmembrane protein 131-like
Acropora_010441,NA
Acropora_010456,NA
Acropora_010494,transmembrane receptor protein tyrosine kinase activity
Acropora_010519,NA
Acropora_010521,NA
Acropora_010538,NA
Acropora_010545,positive regulation of amyloid-beta formation
Acropora_010547,NA
Acropora_010549,microtubule motor activity
Acropora_010550,establishment of epithelial cell polarity
Acropora_010587,NA
Acropora_010588,NA
Acropora_010593,NA
Acropora_010595,Protein of unknown function (DUF719)
Acropora_010600,NA
Acropora_010625,NA
Acropora_010627,NA
Acropora_010628,NA
Acropora_010662,NA
Acropora_010672,Endomembrane protein 70
Acropora_010684,Kunitz/Bovine pancreatic trypsin inhibitor domain
Acropora_010696,intracellular cholesterol transport
Acropora_010710,non-membrane spanning protein tyrosine kinase activity
Acropora_010718,extracellular ligand-gated ion channel activity
Acropora_010747,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
Acropora_010760,NA
Acropora_010771,regulation of cell proliferation involved in mesonephros development
Acropora_010783,Green fluorescent protein
Acropora_010815,DIS3 exosome endoribonuclease and 3'-5' exoribonuclease
Acropora_010816,NA
Acropora_010821,mRNA pseudouridine synthesis
Acropora_010828,ATP:ADP antiporter activity
Acropora_010839,NA
Acropora_010848,Tower
Acropora_010895,NA
Acropora_010900,NA
Acropora_010911,NA
Acropora_010917,NA
Acropora_010931,NA
Acropora_010936,NA
Acropora_010941,heterotrimeric G-protein binding
Acropora_010972,Belongs to the MCM family
Acropora_010981,Ubiquitin-2 like Rad60 SUMO-like
Acropora_011001,calcium ion-regulated exocytosis of neurotransmitter
Acropora_011058,CW-type Zinc Finger
Acropora_011082,NMDA glutamate receptor activity
Acropora_011089,TFIIH basal transcription factor complex helicase XPB
Acropora_011102,NA
Acropora_011132,NA
Acropora_011143,NA
Acropora_011149,"Transfers N-acetylgalactosamine (GalNAc) from UDP-GalNAc to N-acetylglucosamine-beta-benzyl with a beta-1,4-linkage to form N,N'-diacetyllactosediamine, GalNAc-beta-1,4-GlcNAc structures in N-linked glycans and probably O-linked glycans"
Acropora_011181,Chondroitin
Acropora_011186,calcium ion-regulated exocytosis of neurotransmitter
Acropora_011191,positive regulation of DNA-dependent DNA replication initiation
Acropora_011198,NA
Acropora_011200,phagocytosis
Acropora_011208,NA
Acropora_011226,NA
Acropora_011245,NA
Acropora_011246,NA
Acropora_011262,NA
Acropora_011268,NA
Acropora_011311,apoptotic mitochondrial changes
Acropora_011313,methylmalonyl-CoA mutase activity
Acropora_011319,-
Acropora_011321,NA
Acropora_011334,Golgi organization
Acropora_011357,"ATP-binding cassette, sub-family F"
Acropora_011388,"Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events"
Acropora_011390,positive regulation of type B pancreatic cell proliferation
Acropora_011391,SKI DACH domain containing 1
Acropora_011393,"Leucine-rich repeats, outliers"
Acropora_011419,NA
Acropora_011455,NA
Acropora_011500,"mitochondrial electron transport, NADH to ubiquinone"
Acropora_011510,amine sulfotransferase activity
Acropora_011514,NA
Acropora_011604,NA
Acropora_011607,NA
Acropora_011905,NA
Acropora_011943,NA
Acropora_011944,MFS_1 like family
Acropora_011954,NA
Acropora_011965,NA
Acropora_011992,[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity
Acropora_012400,"DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates"
Acropora_012404,gamma-aminobutyric acid:sodium symporter activity
Acropora_012525,NA
Acropora_012552,"negative regulation of DNA damage response, signal transduction by p53 class mediator"
Acropora_012558,protein O-linked glycosylation via threonine
Acropora_012599,IMP cyclohydrolase activity
Acropora_012600,NA
Acropora_012605,gamma-tubulin binding
Acropora_012877,Promotes transcriptional elongation by Su(Tpl) ELL. Essential for development (By similarity)
Acropora_012878,positive regulation of epithelial to mesenchymal transition
Acropora_012906,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
Acropora_012920,NA
Acropora_012929,NA
Acropora_012934,Transcriptional activator GLI3
Acropora_012938,non-membrane spanning protein tyrosine phosphatase activity
Acropora_012944,Regulator of chromosome condensation (RCC1) repeat
Acropora_012973,ribosomal protein
Acropora_012980,Dickkopf N-terminal cysteine-rich region
Acropora_012982,Protein transport protein SEC61 subunit
Acropora_012990,helix loop helix domain
Acropora_013023,Serine threonine-protein kinase tousled-like
Acropora_013054,sequence-specific DNA binding
Acropora_013078,endoplasmic reticulum-plasma membrane tethering
Acropora_013079,Protein disulfide isomerase family A member 4
Acropora_013082,NA
Acropora_013093,NA
Acropora_013094,NA
Acropora_013095,NA
Acropora_013105,NA
Acropora_013107,WD40 repeats
Acropora_013112,Secreted protein acidic and rich in cysteine Ca binding region
Acropora_013142,RNA recognition motif
Acropora_013170,NA
Acropora_013196,NADH dehydrogenase ubiquinone 1 alpha subcomplex
Acropora_013197,NADH dehydrogenase ubiquinone 1 alpha subcomplex
Acropora_013199,regulation of cellular macromolecule biosynthetic process
Acropora_013238,NA
Acropora_013240,NA
Acropora_013277,RNA secondary structure unwinding
Acropora_013297,"Protein tyrosine phosphatase, receptor type"
Acropora_013300,NA
Acropora_013317,NA
Acropora_013326,protein ubiquitination
Acropora_013327,protein ubiquitination
Acropora_013393,cellular response to bleomycin
Acropora_013396,Has a role in the perception of gravity
Acropora_013403,NA
Acropora_013411,NA
Acropora_013440,tooth eruption
Acropora_013482,DBD domain binding
Acropora_013499,zinc ion binding
Acropora_013500,NA
Acropora_013509,RNA binding
Acropora_013559,"Sushi, nidogen and EGF-like"
Acropora_013572,NA
Acropora_013590,forkhead box
Acropora_013591,intracellular protein transport
Acropora_013598,zymogen granule exocytosis
Acropora_013599,signal peptide processing
Acropora_013651,NA
Acropora_013659,Cytosolic acyl coenzyme A thioester
Acropora_013672,"3-kinase, catalytic subunit"
Acropora_013679,c-SKI Smad4 binding domain
Acropora_013680,rho guanine nucleotide exchange factor
Acropora_013682,positive regulation of bicellular tight junction assembly
Acropora_013689,endocytosis
Acropora_013696,EF-hand domain pair
Acropora_013707,homophilic cell adhesion via plasma membrane adhesion molecules
Acropora_013717,NA
Acropora_013729,-
Acropora_013744,NA
Acropora_013750,ATP-dependent RNA helicase
Acropora_013789,phosphopyruvate hydratase activity
Acropora_013834,transcription activator 1
Acropora_013880,NA
Acropora_013887,NA
Acropora_013889,carbohydrate binding
Acropora_013896,NA
Acropora_013902,DDB1- and CUL4-associated factor 10
Acropora_013931,"base-excision repair, DNA ligation"
Acropora_013932,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity
Acropora_013936,NA
Acropora_013938,Cupin-like domain
Acropora_013974,"Urease alpha-subunit, N-terminal domain"
Acropora_014032,NA
Acropora_014074,NA
Acropora_014094,Signal recognition particle receptor
Acropora_014168,Ribonuclease H protein
Acropora_014229,Domain of unknown function (DUF4419)
Acropora_014301,cell surface receptor signaling pathway
Acropora_014379,nuclear pore complex assembly
Acropora_014558,NA
Acropora_014596,NA
Acropora_014626,CUB and zona pellucida-like domain-containing protein
Acropora_014669,NA
Acropora_014702,RNA polymerase II subunit A C-terminal domain phosphatase
Acropora_014703,negative regulation of programmed cell death
Acropora_014709,Poly (ADP-ribose) polymerase
Acropora_014715,NA
Acropora_014727,Low affinity cationic amino acid transporter 2-like
Acropora_014757,"Solute carrier family 33 (acetyl-CoA transporter), member 1"
Acropora_014766,Hemicentin 1
Acropora_014847,NA
Acropora_014874,telomerase activity
Acropora_014875,Monoamine oxidase
Acropora_014883,NA
Acropora_014887,CRM1 C terminal
Acropora_014899,NA
Acropora_014965,radial spoke head protein 3 homolog
Acropora_014986,sequestering of actin monomers
Acropora_014987,NA
Acropora_015004,NA
Acropora_015007,3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
Acropora_015023,-
Acropora_015024,Destroys radicals which are normally produced within the cells and which are toxic to biological systems
Acropora_015031,May play a role in anchoring the cytoskeleton to the plasma membrane
Acropora_015034,NA
Acropora_015037,NA
Acropora_015041,NA
Acropora_015050,Methyltransferase domain
Acropora_015051,NA
Acropora_015080,NA
Acropora_015089,vacuolar transport
Acropora_015093,structural constituent of cuticle
Acropora_015132,nucleosome assembly
Acropora_015148,Wnt-protein binding
Acropora_015149,NA
Acropora_015152,nuclear import signal receptor activity
Acropora_015162,PEST proteolytic signal containing nuclear protein
Acropora_015163,NA
